ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Type_of_Issuer,Use_of_Proceed,Principal_Currency,F1985,F1986,F1987,F1990,F1991,F1992,F1993,F1994,F1999,F2000,F2002,F2003,F2004,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
34,Greece,GR,GRC,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.1698158,0.5660527,1.60759
35,Guernsey,GG,GGY,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.022675,0.5310971,0.0210322
36,Hungary,HU,HUN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,2.194457,0.8961061
37,Hungary,HU,HUN,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,1.872071,0.4566329
38,Iceland,IS,ISL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7386547,1.018895
39,India,IN,IND,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.7757923,0.6612356,2.013853,,3.550931,0.9394191,5.04372
40,Indonesia,ID,IDN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,2.539084,1.601911,1.878447,2.14904
41,Ireland,IE,IRL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,0.1085305,,,,,,,,,,,,7.753589,1.358526,2.254823,5.1524
42,Ireland,IE,IRL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,7.752759,,,
43,Israel,IL,ISR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,Italy,IT,ITA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,0.0481737,0.0261028,,,,,,,,,,,0.5817476,,0.4245395,1.915476,2.270324,6.629275,5.054851,23.71761
45,Italy,IT,ITA,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28342
46,Japan,JP,JPN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.340224,0.9082688,1.086957,1.479931,5.085036,8.246967,9.297937,17.15026
47,Jersey,JE,JEY,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,1.132105,0.115,0.3962369
48,"Korea, Rep. of",KR,KOR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,0.5,,,1.4,0.3857449,3.847799,8.145329,3.856749,26.6735
49,"Korea, Rep. of",KR,KOR,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.7924738
50,Latvia,LV,LVA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,0.1132105,0.0283026,0.0226421,,,,0.1698158
51,Liechtenstein,LI,LIE,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.108038,0.1085187,0.6792632
52,Lithuania,LT,LTU,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.3396316,0.4166148,,,
53,Lithuania,LT,LTU,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.0769832,,,
54,Luxembourg,LU,LUX,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,0.011359,,,,,,,,,,,2.817453,3.099489,1.236416,2.137438,4.606205,10.34347
55,Malaysia,MY,MYS,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.4744299,0.2180546,0.4986162,0.124275,0.1529637
56,"Marshall Islands, Rep. of the",MH,MHL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,
57,Mauritius,MU,MUS,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,1,1.95,,2.770202,0.65,6.042
58,Mexico,MX,MEX,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,1,4.147905,8.75777,0.3856004,0.1232742,1.62251,0.0707396
59,Morocco,MA,MAR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0144533,,,,
60,Namibia,NA,NAM,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,0.0042609,,,
61,"Netherlands, The",NL,NLD,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,0.0751202,,,,,,,,,,,,,,,,,,1.414332,5.065062,7.619474,11.40386,11.77574,24.88572,26.02324,35.37054
62,"Netherlands, The",NL,NLD,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,12.12259,,
63,New Zealand,NZ,NZL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,0.033495,0.0440999,0.1958034,0.1322996,0.100485,0.167475,0.26796,0.301455,0.7201425,1.39616
64,Nigeria,NG,NGA,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0257361,,0.0722248,,
65,Nigeria,NG,NGA,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,0.0257361,,0.0361124,,
66,Norway,NO,NOR,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,0.03,,,,,,,,,,0.0396237,,,,,,0.1137614,0.0153545,,1,0.3916906,2.334791,1.133614,0.6870686,3.318214,5.877162,6.78682,13.80367
67,Pakistan,PK,PAK,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
68,Panama,PA,PAN,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,0.037,,,,,,,0.042,0.535328,
69,Peru,PE,PER,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,0.408,,,,0.0268731,1.280619,0.2,
70,Philippines,PH,PHL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,0.6996966,0.5583317,0.0972195
71,"Poland, Rep. of",PL,POL,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,0.8478792,,1.132105,2.489498,,1.132105
72,"Poland, Rep. of",PL,POL,Sovereign Green Bond Issuances,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFF,Green Bonds,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds",All,All,All,,,,,,,,,,,,,,,,,,,,,,,0.8478792,,1.132105,2.264211,,
73,Portugal,PT,PRT,Green Bond Issuances by Country,US Dollars,"Refinitiv. Accessed on 2022-03-29; Country authorities; IMF staff calculations.",ECFFI,Green Bonds Issuances,"Environment, Climate Change, Financial and Physical and Transition Risk Indicators, Green Bonds, Green Bonds Issuances ",All,All,All,,,,,,,,,,,,,,,,,,,,,,,,,,1.256637,1.698158,2.377421
